Diagnóstico principal (CIE10MC);Grupo de edad;Intervalos de estancia;Total;;https://datos.gob.es/es/catalogo/ea0010587-altas-hospitalarias-clasificadas-por-intervalos-de-estancia-segun-el-diagnostico-principal-y-el-grupo-de-edad-identificador-api-74882?utm_source=chatgpt.com
0500 TRASTORNOS MENTALES F01-F99;de 95 años y más;Más de 6 meses;28;;
0501 Demencia F01-F03;total;De 1 a 30 días;3.592;;
0501 Demencia F01-F03;total;De 31 días a 6 meses;1.041;;
0501 Demencia F01-F03;total;Más de 6 meses;203;;
0501 Demencia F01-F03;menores de 1 año;De 1 a 30 días;..;;
0501 Demencia F01-F03;menores de 1 año;De 31 días a 6 meses;..;;
0501 Demencia F01-F03;menores de 1 año;Más de 6 meses;..;;
0501 Demencia F01-F03;de 1 a 4 años;De 1 a 30 días;..;;
0501 Demencia F01-F03;de 1 a 4 años;De 31 días a 6 meses;..;;
0501 Demencia F01-F03;de 1 a 4 años;Más de 6 meses;..;;
0501 Demencia F01-F03;de 5 a 14 años;De 1 a 30 días;..;;
0501 Demencia F01-F03;de 5 a 14 años;De 31 días a 6 meses;..;;
0501 Demencia F01-F03;de 5 a 14 años;Más de 6 meses;..;;
0501 Demencia F01-F03;de 15 a 24 años;De 1 a 30 días;2;;
0501 Demencia F01-F03;de 15 a 24 años;De 31 días a 6 meses;6;;
0501 Demencia F01-F03;de 15 a 24 años;Más de 6 meses;2;;
0501 Demencia F01-F03;de 25 a 34 años;De 1 a 30 días;2;;
0501 Demencia F01-F03;de 25 a 34 años;De 31 días a 6 meses;2;;
0501 Demencia F01-F03;de 25 a 34 años;Más de 6 meses;2;;
0501 Demencia F01-F03;de 35 a 44 años;De 1 a 30 días;4;;
0501 Demencia F01-F03;de 35 a 44 años;De 31 días a 6 meses;5;;
0501 Demencia F01-F03;de 35 a 44 años;Más de 6 meses;5;;
0501 Demencia F01-F03;de 45 a 54 años;De 1 a 30 días;29;;
0501 Demencia F01-F03;de 45 a 54 años;De 31 días a 6 meses;18;;
0501 Demencia F01-F03;de 45 a 54 años;Más de 6 meses;6;;
0501 Demencia F01-F03;de 55 a 64 años;De 1 a 30 días;118;;
0501 Demencia F01-F03;de 55 a 64 años;De 31 días a 6 meses;49;;
0501 Demencia F01-F03;de 55 a 64 años;Más de 6 meses;13;;
0501 Demencia F01-F03;de 65 a 74 años;De 1 a 30 días;440;;
0501 Demencia F01-F03;de 65 a 74 años;De 31 días a 6 meses;158;;
0501 Demencia F01-F03;de 65 a 74 años;Más de 6 meses;34;;
0501 Demencia F01-F03;de 75 a 84 años;De 1 a 30 días;1.222;;
0501 Demencia F01-F03;de 75 a 84 años;De 31 días a 6 meses;322;;
0501 Demencia F01-F03;de 75 a 84 años;Más de 6 meses;52;;
0501 Demencia F01-F03;de 85 a 89 años;De 1 a 30 días;915;;
0501 Demencia F01-F03;de 85 a 89 años;De 31 días a 6 meses;248;;
0501 Demencia F01-F03;de 85 a 89 años;Más de 6 meses;38;;
0501 Demencia F01-F03;de 90 a 94 años;De 1 a 30 días;659;;
0501 Demencia F01-F03;de 90 a 94 años;De 31 días a 6 meses;178;;
0501 Demencia F01-F03;de 90 a 94 años;Más de 6 meses;39;;
0501 Demencia F01-F03;de 95 años y más;De 1 a 30 días;201;;
0501 Demencia F01-F03;de 95 años y más;De 31 días a 6 meses;56;;
0501 Demencia F01-F03;de 95 años y más;Más de 6 meses;11;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;total;De 1 a 30 días;6.882;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;total;De 31 días a 6 meses;813;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;total;Más de 6 meses;115;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;menores de 1 año;De 1 a 30 días;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;menores de 1 año;De 31 días a 6 meses;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;menores de 1 año;Más de 6 meses;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 1 a 4 años;De 1 a 30 días;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 1 a 4 años;De 31 días a 6 meses;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 1 a 4 años;Más de 6 meses;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 5 a 14 años;De 1 a 30 días;40;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 5 a 14 años;De 31 días a 6 meses;4;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 5 a 14 años;Más de 6 meses;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 15 a 24 años;De 1 a 30 días;157;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 15 a 24 años;De 31 días a 6 meses;19;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 15 a 24 años;Más de 6 meses;2;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 25 a 34 años;De 1 a 30 días;514;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 25 a 34 años;De 31 días a 6 meses;34;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 25 a 34 años;Más de 6 meses;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 35 a 44 años;De 1 a 30 días;1.346;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 35 a 44 años;De 31 días a 6 meses;145;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 35 a 44 años;Más de 6 meses;11;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 45 a 54 años;De 1 a 30 días;2.356;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 45 a 54 años;De 31 días a 6 meses;214;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 45 a 54 años;Más de 6 meses;23;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 55 a 64 años;De 1 a 30 días;1.769;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 55 a 64 años;De 31 días a 6 meses;278;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 55 a 64 años;Más de 6 meses;37;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 65 a 74 años;De 1 a 30 días;542;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 65 a 74 años;De 31 días a 6 meses;91;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 65 a 74 años;Más de 6 meses;25;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 75 a 84 años;De 1 a 30 días;144;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 75 a 84 años;De 31 días a 6 meses;28;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 75 a 84 años;Más de 6 meses;13;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 85 a 89 años;De 1 a 30 días;10;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 85 a 89 años;De 31 días a 6 meses;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 85 a 89 años;Más de 6 meses;2;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 90 a 94 años;De 1 a 30 días;5;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 90 a 94 años;De 31 días a 6 meses;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 90 a 94 años;Más de 6 meses;1;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 95 años y más;De 1 a 30 días;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 95 años y más;De 31 días a 6 meses;..;;
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10;de 95 años y más;Más de 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;total;De 1 a 30 días;8.344;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;total;De 31 días a 6 meses;1.016;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;total;Más de 6 meses;81;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;menores de 1 año;De 1 a 30 días;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;menores de 1 año;De 31 días a 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;menores de 1 año;Más de 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 1 a 4 años;De 1 a 30 días;2;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 1 a 4 años;De 31 días a 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 1 a 4 años;Más de 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 5 a 14 años;De 1 a 30 días;27;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 5 a 14 años;De 31 días a 6 meses;1;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 5 a 14 años;Más de 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 15 a 24 años;De 1 a 30 días;1.321;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 15 a 24 años;De 31 días a 6 meses;170;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 15 a 24 años;Más de 6 meses;15;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 25 a 34 años;De 1 a 30 días;1.863;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 25 a 34 años;De 31 días a 6 meses;199;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 25 a 34 años;Más de 6 meses;7;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 35 a 44 años;De 1 a 30 días;2.346;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 35 a 44 años;De 31 días a 6 meses;278;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 35 a 44 años;Más de 6 meses;15;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 45 a 54 años;De 1 a 30 días;1.920;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 45 a 54 años;De 31 días a 6 meses;246;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 45 a 54 años;Más de 6 meses;25;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 55 a 64 años;De 1 a 30 días;677;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 55 a 64 años;De 31 días a 6 meses;101;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 55 a 64 años;Más de 6 meses;15;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 65 a 74 años;De 1 a 30 días;103;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 65 a 74 años;De 31 días a 6 meses;16;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 65 a 74 años;Más de 6 meses;1;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 75 a 84 años;De 1 a 30 días;52;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 75 a 84 años;De 31 días a 6 meses;5;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 75 a 84 años;Más de 6 meses;1;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 85 a 89 años;De 1 a 30 días;19;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 85 a 89 años;De 31 días a 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 85 a 89 años;Más de 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 90 a 94 años;De 1 a 30 días;6;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 90 a 94 años;De 31 días a 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 90 a 94 años;Más de 6 meses;1;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 95 años y más;De 1 a 30 días;7;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 95 años y más;De 31 días a 6 meses;..;;
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19;de 95 años y más;Más de 6 meses;..;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;total;De 1 a 30 días;27.055;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;total;De 31 días a 6 meses;7.529;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;total;Más de 6 meses;1.698;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;menores de 1 año;De 1 a 30 días;..;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;menores de 1 año;De 31 días a 6 meses;..;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;menores de 1 año;Más de 6 meses;..;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 1 a 4 años;De 1 a 30 días;..;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 1 a 4 años;De 31 días a 6 meses;..;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 1 a 4 años;Más de 6 meses;..;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 5 a 14 años;De 1 a 30 días;115;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 5 a 14 años;De 31 días a 6 meses;26;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 5 a 14 años;Más de 6 meses;..;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 15 a 24 años;De 1 a 30 días;3.022;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 15 a 24 años;De 31 días a 6 meses;753;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 15 a 24 años;Más de 6 meses;96;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 25 a 34 años;De 1 a 30 días;5.379;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 25 a 34 años;De 31 días a 6 meses;1.423;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 25 a 34 años;Más de 6 meses;218;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 35 a 44 años;De 1 a 30 días;5.890;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 35 a 44 años;De 31 días a 6 meses;1.441;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 35 a 44 años;Más de 6 meses;315;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 45 a 54 años;De 1 a 30 días;6.214;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 45 a 54 años;De 31 días a 6 meses;1.752;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 45 a 54 años;Más de 6 meses;395;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 55 a 64 años;De 1 a 30 días;4.080;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 55 a 64 años;De 31 días a 6 meses;1.324;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 55 a 64 años;Más de 6 meses;330;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 65 a 74 años;De 1 a 30 días;1.643;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 65 a 74 años;De 31 días a 6 meses;563;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 65 a 74 años;Más de 6 meses;199;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 75 a 84 años;De 1 a 30 días;547;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 75 a 84 años;De 31 días a 6 meses;199;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 75 a 84 años;Más de 6 meses;99;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 85 a 89 años;De 1 a 30 días;116;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 85 a 89 años;De 31 días a 6 meses;32;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 85 a 89 años;Más de 6 meses;30;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 90 a 94 años;De 1 a 30 días;36;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 90 a 94 años;De 31 días a 6 meses;14;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 90 a 94 años;Más de 6 meses;12;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 95 años y más;De 1 a 30 días;13;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 95 años y más;De 31 días a 6 meses;1;;
0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29;de 95 años y más;Más de 6 meses;5;;
0505 Trastornos del humor (afectivos)  F30-F39;total;De 1 a 30 días;21.351;;
0505 Trastornos del humor (afectivos)  F30-F39;total;De 31 días a 6 meses;4.897;;
0505 Trastornos del humor (afectivos)  F30-F39;total;Más de 6 meses;379;;
0505 Trastornos del humor (afectivos)  F30-F39;menores de 1 año;De 1 a 30 días;..;;
0505 Trastornos del humor (afectivos)  F30-F39;menores de 1 año;De 31 días a 6 meses;..;;
0505 Trastornos del humor (afectivos)  F30-F39;menores de 1 año;Más de 6 meses;..;;
0505 Trastornos del humor (afectivos)  F30-F39;de 1 a 4 años;De 1 a 30 días;1;;
0505 Trastornos del humor (afectivos)  F30-F39;de 1 a 4 años;De 31 días a 6 meses;..;;
0505 Trastornos del humor (afectivos)  F30-F39;de 1 a 4 años;Más de 6 meses;..;;
0505 Trastornos del humor (afectivos)  F30-F39;de 5 a 14 años;De 1 a 30 días;387;;
0505 Trastornos del humor (afectivos)  F30-F39;de 5 a 14 años;De 31 días a 6 meses;46;;
0505 Trastornos del humor (afectivos)  F30-F39;de 5 a 14 años;Más de 6 meses;..;;
0505 Trastornos del humor (afectivos)  F30-F39;de 15 a 24 años;De 1 a 30 días;2.154;;
0505 Trastornos del humor (afectivos)  F30-F39;de 15 a 24 años;De 31 días a 6 meses;369;;
0505 Trastornos del humor (afectivos)  F30-F39;de 15 a 24 años;Más de 6 meses;44;;
0505 Trastornos del humor (afectivos)  F30-F39;de 25 a 34 años;De 1 a 30 días;2.234;;
0505 Trastornos del humor (afectivos)  F30-F39;de 25 a 34 años;De 31 días a 6 meses;375;;
0505 Trastornos del humor (afectivos)  F30-F39;de 25 a 34 años;Más de 6 meses;22;;
0505 Trastornos del humor (afectivos)  F30-F39;de 35 a 44 años;De 1 a 30 días;2.927;;
0505 Trastornos del humor (afectivos)  F30-F39;de 35 a 44 años;De 31 días a 6 meses;554;;
0505 Trastornos del humor (afectivos)  F30-F39;de 35 a 44 años;Más de 6 meses;32;;
0505 Trastornos del humor (afectivos)  F30-F39;de 45 a 54 años;De 1 a 30 días;4.607;;
0505 Trastornos del humor (afectivos)  F30-F39;de 45 a 54 años;De 31 días a 6 meses;929;;
0505 Trastornos del humor (afectivos)  F30-F39;de 45 a 54 años;Más de 6 meses;59;;
0505 Trastornos del humor (afectivos)  F30-F39;de 55 a 64 años;De 1 a 30 días;4.478;;
0505 Trastornos del humor (afectivos)  F30-F39;de 55 a 64 años;De 31 días a 6 meses;1.149;;
0505 Trastornos del humor (afectivos)  F30-F39;de 55 a 64 años;Más de 6 meses;91;;
0505 Trastornos del humor (afectivos)  F30-F39;de 65 a 74 años;De 1 a 30 días;2.724;;
0505 Trastornos del humor (afectivos)  F30-F39;de 65 a 74 años;De 31 días a 6 meses;903;;
0505 Trastornos del humor (afectivos)  F30-F39;de 65 a 74 años;Más de 6 meses;74;;
0505 Trastornos del humor (afectivos)  F30-F39;de 75 a 84 años;De 1 a 30 días;1.515;;
0505 Trastornos del humor (afectivos)  F30-F39;de 75 a 84 años;De 31 días a 6 meses;473;;
0505 Trastornos del humor (afectivos)  F30-F39;de 75 a 84 años;Más de 6 meses;41;;
0505 Trastornos del humor (afectivos)  F30-F39;de 85 a 89 años;De 1 a 30 días;269;;
0505 Trastornos del humor (afectivos)  F30-F39;de 85 a 89 años;De 31 días a 6 meses;73;;
0505 Trastornos del humor (afectivos)  F30-F39;de 85 a 89 años;Más de 6 meses;6;;
0505 Trastornos del humor (afectivos)  F30-F39;de 90 a 94 años;De 1 a 30 días;50;;
0505 Trastornos del humor (afectivos)  F30-F39;de 90 a 94 años;De 31 días a 6 meses;23;;
0505 Trastornos del humor (afectivos)  F30-F39;de 90 a 94 años;Más de 6 meses;8;;
0505 Trastornos del humor (afectivos)  F30-F39;de 95 años y más;De 1 a 30 días;6;;
0505 Trastornos del humor (afectivos)  F30-F39;de 95 años y más;De 31 días a 6 meses;3;;
0505 Trastornos del humor (afectivos)  F30-F39;de 95 años y más;Más de 6 meses;1;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;total;De 1 a 30 días;35.147;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;total;De 31 días a 6 meses;5.238;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;total;Más de 6 meses;1.003;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;menores de 1 año;De 1 a 30 días;32;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;menores de 1 año;De 31 días a 6 meses;..;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;menores de 1 año;Más de 6 meses;..;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 1 a 4 años;De 1 a 30 días;223;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 1 a 4 años;De 31 días a 6 meses;3;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 1 a 4 años;Más de 6 meses;..;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 5 a 14 años;De 1 a 30 días;2.971;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 5 a 14 años;De 31 días a 6 meses;553;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 5 a 14 años;Más de 6 meses;23;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 15 a 24 años;De 1 a 30 días;8.554;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 15 a 24 años;De 31 días a 6 meses;1.528;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 15 a 24 años;Más de 6 meses;239;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 25 a 34 años;De 1 a 30 días;4.421;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 25 a 34 años;De 31 días a 6 meses;582;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 25 a 34 años;Más de 6 meses;156;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 35 a 44 años;De 1 a 30 días;4.194;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 35 a 44 años;De 31 días a 6 meses;529;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 35 a 44 años;Más de 6 meses;118;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 45 a 54 años;De 1 a 30 días;4.721;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 45 a 54 años;De 31 días a 6 meses;591;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 45 a 54 años;Más de 6 meses;132;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 55 a 64 años;De 1 a 30 días;2.845;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 55 a 64 años;De 31 días a 6 meses;384;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 55 a 64 años;Más de 6 meses;112;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 65 a 74 años;De 1 a 30 días;1.934;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 65 a 74 años;De 31 días a 6 meses;303;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 65 a 74 años;Más de 6 meses;72;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 75 a 84 años;De 1 a 30 días;2.516;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 75 a 84 años;De 31 días a 6 meses;386;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 75 a 84 años;Más de 6 meses;80;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 85 a 89 años;De 1 a 30 días;1.419;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 85 a 89 años;De 31 días a 6 meses;201;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 85 a 89 años;Más de 6 meses;46;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 90 a 94 años;De 1 a 30 días;1.002;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 90 a 94 años;De 31 días a 6 meses;136;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 90 a 94 años;Más de 6 meses;14;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 95 años y más;De 1 a 30 días;316;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 95 años y más;De 31 días a 6 meses;42;;
0506 Otros trastornos mentales y del comportamiento  Resto de F01-F99;de 95 años y más;Más de 6 meses;11;;
0600 ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO G00-G99;total;De 1 a 30 días;116.204;;
0600 ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO G00-G99;total;De 31 días a 6 meses;5.925;;
0600 ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO G00-G99;total;Más de 6 meses;520;;
